Title,description,Link,Score,Story_author,Painting_author,Author,Day,Genre,Image_Source,isDone,tags
취업의소리,"조석,wony(박종원) 2인의 작가들이 펼치는,팍팍!! 막힘 없이 뚫리는 취업이야기.

웃음은 크게~ 청년 취업 고민은 쏘옥",https://comic.naver.com/webtoon/list?titleId=26144,9.17,조석,조석,,,개그,https://image-comic.pstatic.net/webtoon/26144/thumbnail/thumbnail_IMAG21_3762534494875574884.jpg,TRUE,#개그 #완결무료 #완결개그
프린스의 왕자,"꽃미남들로 이루어진 게임제작사 
'캐슬소프트'의 존폐를 걸고 펼쳐지는
 두 완벽남의 좌충우돌 코믹 스토리",https://comic.naver.com/webtoon/list?titleId=622640,9.98,재아,SE,,,개그,https://image-comic.pstatic.net/webtoon/622640/thumbnail/thumbnail_IMAG21_7364288511616498022.jpg,TRUE,#개그 #레드스트링 #완결개그
아직도 못 맞춰 보았나! 블쓰헤드샷!,"질풍기획 대위기~?! 밀덕 FPS 광고주가 내주는 예측불허의 미션!

FPS 초보 질풍기획의 FPS 정복기!

본 컨텐츠는 질풍기획의 이현민 작가가 전하는 피망의 블랙스쿼드 브랜드 웹툰입니다.",https://comic.naver.com/webtoon/list?titleId=640168,9.95,이현민,이현민,,,개그,https://image-comic.pstatic.net/webtoon/640168/thumbnail/thumbnail_IMAG21_7076955147921208163.jpg,TRUE,#개그 #완결무료 #완결개그
부릉부릉 천리마마트,본 컨텐츠는 현대자동차의 브랜드 웹툰으로 김규삼 작가가 전하는 부릉부릉 천리마마트입니다.,https://comic.naver.com/webtoon/list?titleId=719154,9.87,김규삼,김규삼,,,개그,https://image-comic.pstatic.net/webtoon/719154/thumbnail/thumbnail_IMAG21_4122264141532835896.jpg,TRUE,#개그 #완결무료 #완결개그
미숙한 친구는 G구인,또띠또띠 뀌꼬르떼 레마르장의 완전 신나는 4차원 지구생활기!,https://comic.naver.com/webtoon/list?titleId=452117,9.94,최삡뺩,최삡뺩,,,개그,https://image-comic.pstatic.net/webtoon/452117/thumbnail/thumbnail_IMAG21_3907263210358846003.jpg,TRUE,#개그 #완결개그
열대어,"누구보다 친근한 생선들이 온다!
10대 핵공감툰.",https://comic.naver.com/webtoon/list?titleId=703629,9.94,실버벨,실버벨,,,개그,https://image-comic.pstatic.net/webtoon/703629/thumbnail/thumbnail_IMAG21_3546923597515797347.jpg,TRUE,#개그 #완결무료 #완결개그
밀가루침공,"​본 컨텐츠는 쿠키런의 신작, 쿠키런: 오븐브레이크의 브랜드 웹툰입니다.

아름다운 지구를 침공하려는 악당, 공주맛 쿠키!

그들과 조석 일행들의 치열한 사투(?)가 시작된다!",https://comic.naver.com/webtoon/list?titleId=687130,9.94,조석,조석,,,개그,https://image-comic.pstatic.net/webtoon/687130/thumbnail/thumbnail_IMAG21_7220452384742598195.jpg,TRUE,#개그 #완결무료 #완결개그
암흑도시,"암흑도시에서 살아가는
우리네 소소한 이야기",https://comic.naver.com/webtoon/list?titleId=710081,9.93,정뱅,정뱅,,,개그,https://image-comic.pstatic.net/webtoon/710081/thumbnail/thumbnail_IMAG21_7003717756481974583.jpg,TRUE,#개그 #최강자전 #2017 최강자전 #완결개그
헬로 미스터 테디,"흑곰보다 험악한 인상을 가진 뒷 세계의 지배자

그에게는 은밀하고도 깜찍한 취미가 있다?!

<2013 대학만화 최강자전> 8강 진출작!
",https://comic.naver.com/webtoon/list?titleId=622639,9.94,아지,아지,,,개그,https://image-comic.pstatic.net/webtoon/622639/thumbnail/thumbnail_IMAG21_7076615592138388323.jpg,TRUE,#개그 #최강자전 #2013 최강자전 #완결무료 #완결개그
악당의 사연,"홍어단이 대한민국을 정복했다? 그럼 러브레인저는 어쩌라고!!
랑또 작가의 '악당의 사연' 시즌2, 4월2일 컴백!",https://comic.naver.com/webtoon/list?titleId=443421,9.92,랑또,랑또,,,개그,https://image-comic.pstatic.net/webtoon/443421/thumbnail/thumbnail_IMAG21_3832906770307757112.jpg,TRUE,#개그 #완결개그
백귀야행지,"소름과 웃음이 동시에! 빨간 도깨비가 풀어놓는 기이한 이야기
글로벌 라인 웹툰에서 연재되고 있는 대만의 <百鬼夜行誌>를 한국어 버전으로 감상하세요.",https://comic.naver.com/webtoon/list?titleId=646358,9.89,아만(阿慢),아만(阿慢),,,개그,https://image-comic.pstatic.net/webtoon/646358/thumbnail/thumbnail_IMAG21_3702915693065681205.jpg,TRUE,#개그 #완결무료 #완결개그
잉잉잉,수업시간에 똥을 싸버린 찌질이 복학생 황준호. 그는 과연 무사히 학교를 졸업할 수 있을 것인가!!,https://comic.naver.com/webtoon/list?titleId=308751,9.94,황준호,수연,,,개그,https://image-comic.pstatic.net/webtoon/308751/thumbnail/thumbnail_IMAG21_3546356246040098917.jpg,TRUE,#개그 #완결무료 #완결개그
탐구생활3,"마음 씀씀이가 좁고 간사한 사람을 뜻하는 '소인배'

이 땅의 모든 사랑스런 소인배들에게 바치는 지상 최강 소인배 가족의 적나라한 진상 플레이",https://comic.naver.com/webtoon/list?titleId=26114,9.79,메가쑈킹,메가쑈킹,,,개그,https://image-comic.pstatic.net/webtoon/26114/thumbnail/thumbnail_IMAG21_7076623073968076131.jpg,TRUE,#개그 #완결무료 #완결개그
경운기를 탄 왕자님,"실질객관동화' 무적핑크 작가의 신작!
싹수 노란 남자의 농사 정복기, 오빤 강남 농부 스타~일!",https://comic.naver.com/webtoon/list?titleId=524353,9.9,무적핑크,무적핑크,,,개그,https://image-comic.pstatic.net/webtoon/524353/thumbnail/thumbnail_IMAG21_7378695236364874039.jpg,TRUE,#개그 #완결개그
고등매직,"평범한 고등학생인 '마삼룡'의 집에 갑자기 삼촌이 찾아온다.
삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데,
그것은 바로 삼룡의 가족이 마법사 집안이었다는 것!
마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드!​",https://comic.naver.com/webtoon/list?titleId=773085,9.8,잭형,잭형,,,개그,https://image-comic.pstatic.net/webtoon/773085/thumbnail/thumbnail_IMAG21_3545232734168572464.jpg,TRUE,#개그 #4차원 #완결무료 #완결개그
까뱅,"치킨시티의 새로운 영웅 '까뱅'</br>
오늘도 그의 활약은 계속된다!",https://comic.naver.com/webtoon/list?titleId=22073,8.84,X-TEAM,X-TEAM,,,개그,https://image-comic.pstatic.net/webtoon/22073/thumbnail/thumbnail_IMAG21_3558750124956006245.jpg,TRUE,#개그 #완결무료 #완결개그
내일은 웹툰,"내일 나오는 만화를 그리며, 언제나 내일을 사는 

웹툰 작가들의 만화같은 이야기.",https://comic.naver.com/webtoon/list?titleId=546750,9.88,신의철,신의철,,,개그,https://image-comic.pstatic.net/webtoon/546750/thumbnail/thumbnail_IMAG21_3486461444545395044.jpg,TRUE,#개그 #완결개그
