title,introduction,link,rating,story,illust,origin,day,genre,image,is_done_flag,tags,age
방과후 레시피,"음식을 사랑하는 소녀 소금은 꿈에 그리던 요리 고등학교에 합격한다.
학교에 진학하기 위해 이모네 집으로 이사하게 된 소금은 그곳에서 자신에게 상처를 주었던 첫사랑 은재와 재회한다.
우리는 과연 예전처럼 다시 친해질 수 있을까?
요리고에서 펼쳐지는 단짠단짠 순정 로맨스!
2021 '첫사랑을 찾습니다' 로맨스 공모전 대상 수상작.",https://comic.naver.com/webtoon/list?titleId=793130,9.97,혜루,혜루,,목,로맨스,https://image-comic.pstatic.net/webtoon/793130/thumbnail/thumbnail_IMAG21_1913856c-b494-4348-b3f0-b85393e4c3ed.jpg,FALSE,#로맨스#힐링#학원로맨스#청춘로맨스#음식&요리#감성드라마,전체연령가
성스러운 그대 이르시길,"신성국의 이단심문관 '맥클라트'는 대신관의 명으로 사악한 대마녀 '비에니'를 사로잡는다. 그런데 비에니는 오히려 마녀사냥을 돕겠다며 다른 마녀들을 밀고한다. 자기 앞에선 두려움에 떨면서도, 마녀를 정화하는 데는 거리낌이 없는 비에니. 그녀를 곁에 두며 맥클라트는 자신의 감정과 신념에 점점 혼란스러움을 느끼는데...",https://comic.naver.com/webtoon/list?titleId=801038,9.95,26,로주,미나토,금,로맨스,https://image-comic.pstatic.net/webtoon/801038/thumbnail/thumbnail_IMAG21_8d5b3bb7-f943-4664-becb-8ac9b88a7e7d.jpg,FALSE,#로맨스#소설원작,15세 이용가
그 남주와 이별하는 방법,"글로벌 기업 리그베다의 해고 전문가 이영아, ‘최애캐’가 나오는 연애 시뮬레이션 게임에 빙의하다!
하지만 웬걸, 공략한 남주들 전원과 연인 상태라 최애캐와 썸은커녕 쌈만 타게 되는데? 본의 아니게 문어다리가 된 영아는 아이디어를 낸다.해고 전문가의 능력을 살려 연인 상태의 남주들과 이별 통보를 하는 것. 영아는 과연 이별에 성공하고 최애캐 렌 브레히트를 손에 넣을 수 있을 것인가!",https://comic.naver.com/webtoon/list?titleId=783518,9.93,환미,미니,소나불,화,로맨스,https://image-comic.pstatic.net/webtoon/783518/thumbnail/thumbnail_IMAG21_7147551697234442294.jpg,FALSE,#로맨스#빙의#소설원작,전체연령가
하얀 사자의 비밀 신부,"낯선 세계, 낯선 사람이 되어 살아가는 이사벨라. ‘검은 사자’라 불리는 라이언과 계약 결혼하고, 그를 완벽하게 속이는 연극을 시작한다.
하지만 소문과 다른 라이언의 모습에 점점 좋아하게 되며 그의 비밀을 알게 되는데……. 이사벨라가 그 비밀에 가까워질수록 그녀가 관련되어 있음이 드러난다.",https://comic.naver.com/webtoon/list?titleId=800390,9.72,봉비,임혜,,수,로맨스,https://image-comic.pstatic.net/webtoon/800390/thumbnail/thumbnail_IMAG21_323eb281-f0b7-4321-8df6-74c9b6b16f61.jpg,FALSE,#로맨스#계략여주#회귀#로판#소설원작,전체연령가
키미앤조이,"1980년대 프랑스의 어느 한적한 시골에서 펼쳐지는 로맨스!
구두 디자이너인 조이는 번아웃으로 지친 일상을 멈추고, 인생 처음으로 휴식다운 휴식을 즐기러 왔다.
하지만 계획과는 달리 드넓은 포도밭 끝에 위치한 숙소는 가는 길부터 몹시 험난하다.
택시도 안 잡혀서 하염없이 걷던 조이는 낡은 트럭이 튀기고 간 흙탕물까지 잔뜩 뒤집어쓰게 되고,
그렇게 고생해서 드디어 도착한 숙소.
그리고 그녀의 눈앞에 아까의 그 낡은 트럭과 트럭의 주인 키미가 나타나는데...! 
첫인상부터 달갑지 않은 둘. 이곳에서 조이는 과연 평화로운 휴식을 보낼 수 있을까?",https://comic.naver.com/webtoon/list?titleId=798177,9.98,치자,치자,,일,로맨스,https://image-comic.pstatic.net/webtoon/798177/thumbnail/thumbnail_IMAG21_f0cbdfb5-413a-4418-bc13-9acaf6d8f3a5.jpg,FALSE,#로맨스#2021 지상최대공모전#현실로맨스#까칠남,12세 이용가
위험한 남편을 길들이는 법,"""난 그 OO이랑 결혼할 생각 없어."" 
이복 언니의 완강한 거부에 맞선 자리에 대신 나가게 된 이 회장의 사생아, 혜리. 
세기의 추남이라느니, 성격이 포악해 사람을 반 죽여놓았다느니, 
사이코패스라느니 하는 무성한 소문 속의 맞선남은, 그래, 꽤 '위험한 남자'이긴 했다.",https://comic.naver.com/webtoon/list?titleId=789651,9.93,두지,윤손,,일,로맨스,https://image-comic.pstatic.net/webtoon/789651/thumbnail/thumbnail_IMAG21_0fcadb92-70c8-4c18-8371-1a40c33a3c20.jpg,FALSE,#로맨스#선결혼후연애#소설원작,12세 이용가
홍 의관의 은밀한 비밀,"사람의 명줄을 보는 신비한 눈을 가진 천재 의원 홍계동. 사실 그는 여인이다.
어느 날, 부득이한 사정으로 샌님이라 여긴 사내에게 술값을 떠넘기다 딱 걸리고 말았으니.
명줄조차 보이지 않는 이 위험한 사내에게 얽혀 내의원까지 입성하게 되는데!

그런데 샌님인 줄 알았던 그가 무려 이 나라의 주상 전하라고...?",https://comic.naver.com/webtoon/list?titleId=796251,9.96,유계진,서이나,,일,로맨스,https://image-comic.pstatic.net/webtoon/796251/thumbnail/thumbnail_IMAG21_6417177b-b3b2-4d95-b0a8-933eaa533688.jpg,FALSE,#로맨스#성별반전#퓨전사극#소설원작,12세 이용가
나의 작은 서점,"꿈을 잊은 채 현실에 순응하며 살아가는 ‘방송 작가’ 한주아. 첫 예능이 폐지되고 주아는 스스로 잘 살고 있는지 의문을 품게 된다. 그러던 와중 퇴근길에 우연히 봤던 동네 서점 앞에 서게 되고, 잊었던 꿈과 동시에 곰 탈을 쓴 재수 없는(?) 서점지기와 마주하게 되는데.. 망해가는 서점주인, 망한 아이돌, 그리고 꿈에 다가가지 못하고 서성여야 했던 주아. 그들이 꿈을 향한 첫 페이지를 넘긴다.",https://comic.naver.com/webtoon/list?titleId=790416,9.97,한민기,한민기,,일,로맨스,https://image-comic.pstatic.net/webtoon/790416/thumbnail/thumbnail_IMAG21_055ba017-9ab1-413f-8dab-dcab9b6ef090.jpg,FALSE,#로맨스#힐링#현실로맨스#청춘로맨스#연예계,전체연령가
"황궁에 핀 꽃은, 미쳤다","태사국 철부지 황태자 이헌은 오로지 자신이 좋아하는 평민을 후궁으로 들이려 태사국 대장군의 딸 서류하와 애정 없는 혼인식을 올린다. 
하지만... 고분고분 순진한 아가씨인줄 알았던 서류하의 실체는 카리스마 넘치는 여장부 그 자체. 예상치 못한 피 터지는 첫날밤을 보내게 된 이헌은 자신이 크게 실수했음을 깨닫지만 이미 늦었다. 모든 것은 서류하의 계획 아래에 있다.
폭풍처럼 몰아치는 서류하에게 속절없이 흔들리며 나아가는 태사국과 이헌의 이야기.",https://comic.naver.com/webtoon/list?titleId=796324,9.92,한누리,희구,성소작,목,로맨스,https://image-comic.pstatic.net/webtoon/796324/thumbnail/thumbnail_IMAG21_175639ba-4f7b-499e-ba95-86235b11b2db.jpg,FALSE,#로맨스#퓨전사극#소설원작,전체연령가
드래곤의 심장을 가지고 있습니다,"천 년전 포악한 드래곤을 무찔렀다는 용사 샤론.
샤론을 동경하며 자란 아루 앞에 어느날 정체불명의 남자가 등장한다.
뭐? 자기가 바로 그 무시무시한 드래곤이라고? 게다가 내가 바로 그 용사라는데?!
천 년만에 재회한 드래곤과 용사의 귀엽고도 애절한 로맨스 판타지!",https://comic.naver.com/webtoon/list?titleId=795540,9.97,시뉴라,시뉴라,,금,로맨스,https://image-comic.pstatic.net/webtoon/795540/thumbnail/thumbnail_IMAG21_5dbe14f7-5802-4643-9b1d-90d94542f450.jpg,FALSE,#로맨스#2021 지상최대공모전#혐관로맨스#인외존재,15세 이용가
